var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,var15,var16,var17,var18,var19,var20,var21,var22,var23,var24,var25,var26,var27,var28,var29,var30,var31,var32,var33,var34,var35,var36,var37,var38,var39,var40,var41,var42,var43,var44,var45,var46,var47,var48,var49,var50,var51,var52,var53,var54,var55,var56,var57,var58,var59,var60,var61,var62,var63,var64,var65
51,85,24,96,49,75,58,0,64,77,75,51,82,60,71,8,1,26,42,5,31,12,41,4,75,34,83,3,15,86,65,8,75,90,32,87,54,23,84,17,25,100,48,24,8,31,44,28,4,10,12,56,31,17,8,24,21,44,73,9,68,53,1,53,96
80,20,49,92,13,86,84,37,12,44,1,66,0,71,77,60,4,11,33,47,10,87,77,36,66,45,96,44,93,100,17,75,69,19,20,9,60,58,40,30,41,73,95,22,81,84,49,79,2,95,12,43,90,58,58,75,32,81,82,47,41,12,58,23,22
29,70,0,85,31,31,85,79,71,29,4,72,26,36,27,20,32,44,82,4,70,26,54,31,9,1,99,80,2,35,11,41,92,19,8,66,21,61,43,80,89,97,38,84,59,10,49,13,49,15,34,6,67,72,52,56,52,80,31,94,47,13,1,34,61
25,84,0,81,53,97,88,49,5,56,38,49,17,91,66,53,66,9,62,86,37,18,71,22,28,16,45,82,73,69,15,53,53,60,18,22,27,39,38,87,98,15,64,8,20,59,89,58,97,53,54,55,83,82,68,33,100,32,100,17,3,4,25,77,21
15,85,55,39,66,79,56,13,78,44,12,35,16,47,21,60,48,95,45,29,25,47,63,3,99,89,77,91,73,40,99,63,40,49,32,38,21,29,80,40,78,81,85,9,17,28,72,91,49,72,92,72,87,21,55,51,30,37,10,32,58,32,97,34,35
89,72,51,25,98,19,39,16,47,75,79,33,66,50,20,18,94,25,26,59,95,80,10,74,11,22,15,79,20,24,93,63,87,38,62,0,65,41,71,33,82,13,85,67,31,59,28,85,51,87,92,86,51,57,69,0,44,81,96,54,56,92,16,92,34
87,84,98,46,92,57,71,65,95,9,59,53,24,72,99,0,72,61,46,0,22,13,21,11,71,60,40,90,17,34,27,14,55,42,23,72,14,70,95,75,28,9,91,61,29,26,3,10,68,61,95,79,14,55,20,60,17,27,48,25,89,31,77,43,53
24,64,54,99,100,59,24,37,40,40,90,90,69,43,59,18,48,39,18,78,50,78,59,7,43,28,37,0,44,2,91,85,81,56,48,83,52,13,43,31,41,53,70,64,76,69,22,70,95,15,92,47,37,11,89,84,89,99,13,26,38,39,79,22,35
45,89,9,5,18,0,52,54,88,27,94,85,75,62,34,55,59,10,26,61,34,46,93,74,71,10,72,93,37,18,76,66,3,3,58,26,40,25,68,57,28,20,16,29,13,93,43,26,98,64,81,73,21,97,46,13,25,72,99,17,68,55,85,52,94
77,4,59,31,8,10,50,42,66,81,78,66,95,66,63,85,61,85,60,74,86,94,11,99,13,68,84,60,66,10,49,91,38,71,8,79,51,30,69,34,18,52,16,71,75,3,12,92,58,28,99,0,40,87,86,77,34,30,11,93,16,55,35,43,12
